,No,,Nama Instansi Pemohon,Nomor Surat,Judul atau Tema Kegiatan,Lokasi/Tempat Kegiatan,Tanggal Mulai,Tanggal Selesai,Jam Mulai (WITA),Jam Selesai (WITA),Platform (Zoom/YT/Dll),Operator,dokumentasi ,AKUN ZOOM ,Informasi Pimpinan yang menghadiri kegiatan,KET
,1,,BKAD,,Verifikasi Rencana Anggaran KAS 2025 ,BKAD ,"Senin, 13 Januari 2025","Senin, 13 Januari 2025",10.00,Selesai',Fasilitasi Zoom,,,diskominfo.kaltara002@gmail.com,,
,2,,Dinas Energi dan sumber Daya Mineral ,500.10/33/DESDM-4,Rencana Pengembangan Lapangan Pertama (POD 1) Lapangan Badik & West Badik Wilayah Kerja Nunukan ,Ruang Rapat Gubernur ,"Senin, 13 Januari 2025","Senin, 13 Januari 2025",15.00,Selesai',Fasilitasi Zoom,,,,,
,3,,Dishub ,000.8.2/026/Dishub-Set/I/2025,"Pembahasan Perhitungan Formasi, Penilaian dan Perubahan JFT Dinas Perhubungan ",Dinas PErhubungan ,"Rabu, 15 Januari 2025","Rabu, 15 Januari 2025",10.00,Selesai',Fasilitasi Zoom,,,diskominfo.kaltara001@gmail.com,,
,4,,DPKP,500.1.2.3/084/DPKP-VI,Rapat koordinasi Pengembangan Jagung,Ruang Rapat Lt. 1 Kantor Gabungan Dinas II,"Senin, 20 Januari 2025","Senin, 20 Januari 2025",09.00,Selesai,Fasilitasi Zoom,,,,,
,5,,DKP,500.5.2.14/0097/DKP,Penataan Kampung Nelayan Maju Tahun Anggaran 2025,,"Rabu, 22 Januari 2025","Rabu, 22 Januari 2025",09.00,Selesai,Fasilitasi Zoom,,,,,
,6,,KPK-RI,UND/37/LIT.05/10-14/01/2025,"Undangan Launching Hasil
Survei Penilaian Integritas (SPI) 2024",Ruang Kantor Gubernur,"Rabu, 22 Januari 2025","Rabu, 22 Januari 2025",14.00,Selesai,Fasilitasi Zoom,,,,,
,7,,DPD Persatuan Intelegensia Kristen Indonesia,011/DPD-PIKI-Kaltara/I/2025,Seminar Kebangsaan dan Kebaktian Kebangunan Rohani (KKR) Provinsi Kalimantan Utara,Ruang Serbaguna Gedung Gadis,"Kamis, 23 Januari 2025","Kamis, 23 Januari 2025",8.30,Selesai,Live Streaming,,,,,
,8,,DKISP Perencanaan,,Pembahasan Renstra dan Renja 2026,Ruang Command Center,"Kamis, 23 Januari 2025","Kamis, 23 Januari 2025",14.00,Selesai,-,,,,,
,9,,Biro Pem Otda,100.3.7.1/32/PEM.OTDA,Pembahasan Draft Usulan Perpanjangan Kesepakatan Bersama ,Ruang Rapat Biro Pem,"Selasa, 04 Februari 2025","Selasa, 04 Februari 2025",9.30,Selesai,Fasilitasi Zoom,,,,,
,10,,"Biro Pemerintahan dan
Otonomi Daerah",500.12.17.1/17/PEMOTDA,"Rapat pembahasan Kerja Sama
antara Pemerintah Provinsi Kalimantan Utara dengan Universitas Brawijaya","Ruang Rapat Biro Pemerintahan dan Otda, Lantai ll","Selasa, 11 Februari 2025","Selasa, 11 Februari 2025",09.00,Selesai,Fasilitasi Zoom,,8,,,
